#UID,filename,consideredRecs,unconsideredRecs,avgDxDt,stdevDxDt,avgDyDt,stdevDyDt,dtMax,DxDtMax,DyDtMax,MinX,MinY,MaxX,MaxY,AreaX,AreaY,AreaDiagonal
#Num,538,,,,,,,,,,,,,,,,
107,new_ayquasto.txt,3001,0,208.0216537,510.1741998,195.8697533,368.4130148,11849,14360.21431,11421.37976,37.60826,-122.48621,37.83951,-122.29207,25636.06057,25742.63225,21611.56594
108,new_ayquexar.txt,3001,0,241.436662,447.4409909,271.1796488,1117.490201,4843,7881.419948,44015.72666,37.61379,-122.50689,37.80598,-122.38449,17815.77059,21394.49294,13625.50567
109,new_ayshekki.txt,3001,0,321.9909512,550.7993778,313.5340843,564.9114295,43859,10085.54587,11648.47152,37.45299,-122.51,37.89413,-122.00002,62527.89073,49107.48017,56770.71391
110,new_ayshowg.txt,3001,0,196.1799866,679.3352553,160.4371287,295.7699135,8127,27918.92829,3072.417946,37.61429,-122.5098,37.8085,-122.38399,18184.69459,21619.35831,14005.10514
112,new_eacderph.txt,3001,0,424.7060481,1310.437149,344.9224738,1433.301874,23299,48056.62418,43817.57797,37.50953,-122.50058,37.94311,-122.0164,59738.44958,48265.90482,53898.67105
113,new_eadectio.txt,3001,0,436.443297,593.4764922,312.6822669,409.8730028,30481,2499.917708,4090.991287,37.51213,-122.51663,37.94837,-122.24169,40162.57613,48562.01466,30606.1808
111,new_aysmsla.txt,3001,1,561.3641608,10493.3481,2216.016876,70876.55579,15521,460595.5251,3053315.521,37.14853,-127.08143,37.83723,-122.18733,546540.6017,76665.73331,544808.7199
115,new_eapceou.txt,3001,0,311.3674311,450.360391,292.3300383,386.7404107,83393,2284.275951,2723.431342,37.58901,-122.50243,37.84254,-122.19,37916.05414,28222.8305,34779.54851
114,new_eagbaci.txt,3001,0,328.4787472,748.0805508,355.9609995,673.4517343,144223,26850.26118,16848.20493,37.5545,-122.54832,37.98728,-122.06211,59936.26406,48176.84923,54124.64962
116,new_easnsvu.txt,3001,0,321.503405,551.1615612,267.0683132,436.9067606,22381,7963.054241,13558.71398,37.57551,-122.51351,37.80841,-122.35553,22419.40214,25926.30941,17586.25316
117,new_eavcaifo.txt,3001,0,268.6536756,1248.891995,267.6807267,775.6305535,21762,55103.14794,21440.13393,37.61498,-122.54012,37.99875,-122.38567,28660.45167,42721.08098,17193.29535
